codigo,preco,hora,data,variacao
"B3SA3", "R$10.24","17:52:02", "02/01/2025",
"ASAI3", "R$5.47","17:52:07", "02/01/2025",
"PETR4", "R$36.87","17:52:08", "02/01/2025",
"MRFG3", "R$17.18","17:52:09", "02/01/2025",
"ITSA4", "R$8.70","17:52:11", "02/01/2025",
"BRAV3", "R$23.54","17:52:12", "02/01/2025",
"VALE3", "R$54.35","17:52:14", "02/01/2025",
"CRFB3", "R$5.54","17:52:15", "02/01/2025",
"CCRO3", "R$10.14","17:52:17", "02/01/2025",
"CSAN3", "R$8.01","17:52:20", "02/01/2025",
"ANIM3", "R$1.56","17:52:24", "02/01/2025",
"RAIZ4", "R$2.12","17:52:24", "02/01/2025",
"VAMO3", "R$4.59","17:52:26", "02/01/2025",
"USIM5", "R$5.19","17:52:27", "02/01/2025",
"BBAS3", "R$23.91","17:52:29", "02/01/2025",
"CMIG4", "R$10.98","17:52:30", "02/01/2025",
"CSNA3", "R$8.45","17:52:31", "02/01/2025",
"BBDC3", "R$10.45","17:52:32", "02/01/2025",
"PETR3", "R$40.54","17:52:33", "02/01/2025",
"LREN3", "R$12.04","17:52:34", "02/01/2025",
"POMO4", "R$7.61","17:52:35", "02/01/2025",
"PETZ3", "R$4.02","17:52:38", "02/01/2025",
"MOVI3", "R$3.55","17:52:39", "02/01/2025",
"CMIN3", "R$5.06","17:52:40", "02/01/2025",
"GOAU4", "R$10.10","17:52:41", "02/01/2025",
"RAIL3", "R$17.85","17:52:43", "02/01/2025",
"ELET3", "R$34.06","17:52:44", "02/01/2025",
"CPLE3", "R$8.19","17:52:45", "02/01/2025",
"GGBR4", "R$17.97","17:52:45", "02/01/2025",
"BRFS3", "R$24.85","17:52:47", "02/01/2025",
"RADL3", "R$21.63","17:52:48", "02/01/2025",
"JBSS3", "R$37.13","17:52:50", "02/01/2025",
"UGPA3", "R$15.90","17:52:51", "02/01/2025",
"GMAT3", "R$6.10","17:52:52", "02/01/2025",
"GMAT3", "R$6.10","17:52:53", "02/01/2025",
"RENT3", "R$32.16","17:52:53", "02/01/2025",
"DXCO3", "R$5.88","17:52:54", "02/01/2025",
"CEAB3", "R$7.49","17:52:55", "02/01/2025",
"YDUQ3", "R$8.43","17:52:57", "02/01/2025",
"CYRE3", "R$16.61","17:53:00", "02/01/2025",
"SUZB3", "R$62.43","17:53:01", "02/01/2025",
"LJQQ3", "R$2.12","17:53:04", "02/01/2025",
"RDOR3", "R$25.31","17:53:05", "02/01/2025",
"TIMS3", "R$14.51","17:53:06", "02/01/2025",
"AURE3", "R$8.59","17:53:07", "02/01/2025",
"KLBN11", "R$23.02","17:53:09", "02/01/2025",
"HYPE3", "R$17.71","17:53:11", "02/01/2025",
"SBFG3", "R$10.66","17:53:12", "02/01/2025",
"WEGE3", "R$52.74","17:53:13", "02/01/2025",
"MULT3", "R$20.46","17:53:16", "02/01/2025",
"ECOR3", "R$4.16","17:53:17", "02/01/2025",
"TOTS3", "R$26.16","17:53:18", "02/01/2025",
"STBP3", "R$13.19","17:53:19", "02/01/2025",
"VVEO3", "R$2.01","17:53:23", "02/01/2025",
"ALOS3", "R$18.13","17:53:24", "02/01/2025",
"SBSP3", "R$88.17","17:53:25", "02/01/2025",
"PSSA3", "R$36.07","17:53:26", "02/01/2025",
"FLRY3", "R$12.01","17:53:28", "02/01/2025",
"BRAP4", "R$16.43","17:53:31", "02/01/2025",
"RECV3", "R$16.47","17:53:32", "02/01/2025",
"VIVA3", "R$18.58","17:53:33", "02/01/2025",
"SLCE3", "R$17.36","17:53:34", "02/01/2025",
"IGTI11", "R$17.26","17:53:35", "02/01/2025",
"TUPY3", "R$21.61","17:53:37", "02/01/2025",
"ELET6", "R$37.83","17:53:39", "02/01/2025",
"TEND3", "R$12.34","17:53:42", "02/01/2025",
"TAEE11", "R$32.78","17:53:44", "02/01/2025",
"ALUP11", "R$26.57","17:53:45", "02/01/2025",
"VIVT3", "R$47.24","17:53:45", "02/01/2025",
"AZZA3", "R$28.90","17:53:46", "02/01/2025",
"INTB3", "R$12.49","17:53:47", "02/01/2025",
"INTB3", "R$12.49","17:53:48", "02/01/2025",
"CURY3", "R$17.40","17:53:49", "02/01/2025",
"SMFT3", "R$16.73","17:53:50", "02/01/2025",
"EGIE3", "R$35.37","17:53:51", "02/01/2025",
"GRND3", "R$4.97","17:53:52", "02/01/2025",
"SMTO3", "R$23.14","17:53:53", "02/01/2025",
"CPFE3", "R$31.33","17:53:55", "02/01/2025",
"BPAN4", "R$6.21","17:53:57", "02/01/2025",
"GGPS3", "R$14.05","17:53:57", "02/01/2025",
"CSMG3", "R$20.41","17:53:59", "02/01/2025",
"ARML3", "R$5.04","17:54:00", "02/01/2025",
"MDIA3", "R$19.48","17:54:01", "02/01/2025",
"ABCB4", "R$19.27","17:54:02", "02/01/2025",
"RAPT4", "R$9.95","17:54:02", "02/01/2025",
"SAPR4", "R$5.32","17:54:03", "02/01/2025",
"CAML3", "R$5.62","17:54:05", "02/01/2025",
